ICAO_TYPE_CODE,aircraft,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_type,flaps_area,flaps_bf/b,flaps_lambda_f,flaps_cf/c,flaps_Sf/S,cruise_height,cruise_mach,cruise_range,engine_type,engine_mount,engine_number,engine_default,engine_options_A320-271N,engine_options_A320-272N,engine_options_A320-273N,engine_options_A320-251N,engine_options_A320-252N,engine_options_A320-253N,drag_cd0,drag_k,drag_e,drag_gears,fuel_aircraft,fuel_engine,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,engine_options_A321-271N,engine_options_A321-272N,engine_options_A321-251N,engine_options_A321-252N,engine_options_A321-253N,engine_options_A318-111,engine_options_A318-112,engine_options_A318-121,engine_options_A318-122,engine_options_A319-111,engine_options_A319-112,engine_options_A319-113,engine_options_A319-114,engine_options_A319-115,engine_options_A319-131,engine_options_A319-132,engine_options_A319-133,engine_options_A320-111,engine_options_A320-211,engine_options_A320-212,engine_options_A320-214,engine_options_A320-215,engine_options_A320-216,engine_options_A320-231,engine_options_A320-232,engine_options_A320-233,engine_options_A321-111,engine_options_A321-112,engine_options_A321-131,engine_options_A321-211,engine_options_A321-212,engine_options_A321-213,engine_options_A321-231,engine_options_A321-232,engine_options_A330-201,engine_options_A330-202,engine_options_A330-203,engine_options_A330-223,engine_options_A330-223F,engine_options_A330-243,engine_options_A330-301,engine_options_A330-302,engine_options_A330-303,engine_options_A330-321,engine_options_A330-322,engine_options_A330-323,engine_options_A330-341,engine_options_A330-342,engine_options_A330-343,engine_options_A350-941,engine_options_A380-841,engine_options_A380-842,engine_options_A380-861,engine_options,clean_cd0,clean_k,clean_e,clean_gears
A20N,Airbus A320neo,79000.0,66000.0,44300.0,29700.0,350.0,0.82,12500.0,194.0,150.0,180.0,37.57,4.14,3.95,124.0,35.8,4.29,25.0,0.1091999999999997,single-slotted,21.1,0.78,0.9,0.176,0.17,11000.0,0.78,6300.0,turbofan,wing,2.0,PW1127G-JM,PW1127G-JM,PW1124G1-JM,PW1129G-JM,LEAP-1A26,LEAP-1A24,LEAP-1A29,0.017,0.038,0.807,0.017,Airbus A320,CFM56-5B4/P,2.65942225,79000.0,66000.0,44300.0,29700.0,350.0,0.82,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
A21N,Airbus A321neo,97000.0,77800.0,50000.0,33000.0,350.0,0.82,12500.0,244.0,180.0,220.0,44.51,4.14,3.95,128.0,35.8,4.29,25.0,0.10855999999999975,double-slotted,21.1,0.78,0.9,0.176,0.17,11000.0,0.78,7400.0,turbofan,wing,2.0,PW1133G-JM,,,,,,,0.017,0.038,0.807,0.017,,CFM56-5B4/P,2.65942225,97000.0,77800.0,50000.0,33000.0,350.0,0.82,12500.0,PW1133G-JM,PW1130G-JM,LEAP-1A32,LEAP-1A30,LEAP-1A33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
A306,Airbus A300-600,178989.0,142716.5,85905.0,85021.15,343.6,0.8460999999999974,12668.0,319.66,210.83,262.68,50.844449999999945,4.9587499999999975,4.790200000000012,250.63200000000003,46.29565000000003,5.879014999999994,27.46450000000001,0.10199999999999998,,38.19020000000011,0.7626415681210497,0.8999999999998672,0.17004499999999945,0.1632550000000003,11000.0,0.7996750000000006,7660.0,turbofan,,2.04,,,,,,,,0.019854999999999928,0.040229999999999995,0.786025,0.016408369721630046,,,4.7071649112787375,178989.0,142716.5,85905.0,85021.15,343.6,0.8460999999999974,12668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
A318,Airbus A318,68000.0,57500.0,39500.0,24210.0,350.0,0.82,12500.0,136.0,107.0,117.0,31.44,4.14,3.95,122.4,34.1,4.1935,25.0,0.10935999999999993,single-slotted,21.1,0.78,0.9,0.176,0.17,11000.0,0.78,2800.0,turbofan,wing,2.0,CFM56-5B9,,,,,,,0.02,0.039,0.783,0.017,,CFM56-5B9/3,2.03114004,68000.0,57500.0,39500.0,24210.0,350.0,0.82,12500.0,,,,,,CFM56-5B8,CFM56-5B9,PW6122A,PW6124A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
A319,Airbus A319,75500.0,62500.0,40800.0,30190.0,350.0,0.82,12500.0,156.0,110.0,140.0,33.84,4.14,3.95,124.0,35.8,4.1935,25.0,0.10935999999999975,single-slotted,21.1,0.78,0.9,0.176,0.17,11000.0,0.78,3300.0,turbofan,wing,2.0,V2524-A5,,,,,,,0.02,0.039,0.783,0.017,,V2524-A5,2.33357287,75500.0,62500.0,40800.0,30190.0,350.0,0.82,12500.0,,,,,,,,,,CFM56-5B5,CFM56-5B6,CFM56-5A4,CFM56-5A5,CFM56-5B7,V2522-A5,V2524-A5,V2527M-A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
A320,Airbus A320,78000.0,66000.0,42600.0,24210.0,350.0,0.82,12500.0,180.0,140.0,170.0,37.57,4.14,3.95,124.0,35.8,4.1935,25.0,0.10887999999999982,single-slotted,21.1,0.78,0.9,0.176,0.17,11000.0,0.78,5000.0,turbofan,wing,2.0,CFM56-5B4,,,,,,,0.018,0.039,0.799,0.017,,CFM56-5B4/P,2.65942225,78000.0,66000.0,42600.0,24210.0,350.0,0.82,12500.0,,,,,,,,,,,,,,,,,,CFM56-5-A1,CFM56-5-A1,CFM56-5A3,CFM56-5B4,CFM56-5B5,CFM56-5B6,V2500-A1,V2527-A5,V2527E-A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
A321,Airbus A321,93500.0,77800.0,48500.0,30030.0,350.0,0.82,12500.0,220.0,170.0,210.0,44.51,4.14,3.95,128.0,35.8,4.1935,25.0,0.10839999999999987,double-slotted,21.1,0.78,0.9,0.176,0.165,11000.0,0.78,4400.0,turbofan,wing,2.0,CFM56-5B1,,,,,,,0.02,0.041,0.785,0.019,,V2533-A5,3.2375643,93500.0,77800.0,48500.0,30030.0,350.0,0.82,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CFM56-5B1,CFM56-5B2,V2530-A5,CFM56-5B3,CFM56-5B1,CFM56-5B2,V2533-A5,V2530-A5,,,,,,,,,,,,,,,,,,,,,0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
A332,Airbus A330-200,230000.0,182000.0,120200.0,139000.0,330.0,0.86,12500.0,406.0,220.0,260.0,58.82,5.64,5.64,361.6,60.3,7.26,29.7,0.11,double-slotted,21.099999999999632,0.665,0.9,0.15,0.15,11000.0,0.82,12500.0,turbofan,wing,2.0,Trent 772,,,,,,,0.022,0.041,0.774,0.014,,Trent 772,6.0218489,230000.0,182000.0,120200.0,139000.0,330.0,0.86,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF6-80E1A2,CF6-80E1A4,CF6-80E1A3,PW4168A,PW4170,Trent 772,,,,,,,,,,,,,,,0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
A333,Airbus A330-300,242000.0,188000.0,122780.0,139000.0,330.0,0.86,12500.0,440.0,250.0,290.0,63.67,5.64,5.64,361.6,60.3,7.26,29.7,0.11,double-slotted,22.308869963824037,0.665,0.9,0.15,0.15,11000.0,0.82,10500.0,turbofan,wing,2.0,Trent 772,,,,,,,0.022,0.041,0.773,0.014,,Trent 772,5.84957777,242000.0,188000.0,122780.0,139000.0,330.0,0.86,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF6-80E1A2,CF6-80E1A4,CF6-80E1A3,PW4164,PW4168,PW4168A,Trent 768,Trent 772,Trent 772,,,,,,0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
A359,Airbus A350-900,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,440.0,300.0,350.0,66.8,6.09,5.96,442.0,64.75,6.01357999999999,31.9,0.09672,double-slotted,26.85375000000005,0.7380026646464303,0.9,0.15,0.15,11000.0,0.85,15000.0,turbofan,wing,2.0,Trent XWB-84,,,,,,,0.022,0.043,0.783,0.013,,,3.086355339673145,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trent XWB-84,,,,,0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
A388,Airbus A380-800,560000.0,386000.0,277000.0,320000.0,340.0,0.89,13100.0,853.0,410.0,620.0,72.72,8.41,7.14,845.0,79.75,4.260942499999988,33.5,0.08,single-slotted,21.0999999999977,0.7551600000000009,0.9,0.15,0.15,12800.0,0.85,14800.0,turbofan,wing,4.0,GP7270,,,,,,,0.016,0.05,0.855,0.012,,,2.7238127468639264,560000.0,386000.0,277000.0,320000.0,340.0,0.89,13100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trent 970-84,Trent 972-84,GP7270,,0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
B38M,Boeing 737 MAX 8,82000.0,66300.0,45000.0,26000.0,340.0,0.82,12500.0,210.0,162.0,178.0,39.47,3.73,3.73,124.6,34.32,4.17,25.0,0.1098399999999996,double-slotted,21.099999999996754,0.6,0.9,0.15,0.15,11000.0,0.79,6600.0,turbofan,wing,2.0,LEAP-1B,,,,,,,0.02,0.042,0.797,0.018,,,3.0383253759082125,82000.0,66300.0,45000.0,26000.0,340.0,0.82,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""LEAP-1B""]",0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
B39M,Boeing 737 MAX 9,88000.0,71000.0,45000.0,26000.0,340.0,0.82,12500.0,220.0,178.0,193.0,42.11,3.73,3.73,124.6,34.32,4.17,25.0,0.10737999999999996,double-slotted,21.102259825637407,0.6,0.9,0.15,0.15,11000.0,0.79,6600.0,turbofan,wing,2.0,LEAP-1B,,,,,,,0.02,0.042,0.797,0.018,,,2.661645609698921,88000.0,71000.0,45000.0,26000.0,340.0,0.82,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""LEAP-1B""]",0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
B737,Boeing 737-700,70000.0,58600.0,37600.0,26000.0,340.0,0.82,12500.0,149.0,130.0,149.0,33.6,3.73,3.73,124.6,34.32,4.17,25.0,0.10871999999999976,double-slotted,21.790449999999755,0.6,0.9,0.15,0.15,11000.0,0.78,4600.0,turbofan,wing,2.0,CFM56-7B26,,,,,,,0.022,0.043,0.78,0.016,,CFM56-7B26,2.69348207,70000.0,58600.0,37600.0,26000.0,340.0,0.82,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""CFM56-7B20"", ""CFM56-7B22"", ""CFM56-7B24"", ""CFM56-7B26"", ""CFM56-7B27""]",0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
B738,Boeing 737-800,79000.0,66300.0,41400.0,26000.0,340.0,0.82,12500.0,189.0,162.0,189.0,39.47,3.73,3.73,124.6,34.32,4.17,25.0,0.10727999999999975,double-slotted,21.330173226772125,0.6,0.9,0.15,0.15,11000.0,0.789,3700.0,turbofan,wing,2.0,CFM56-7B26,,,,,,,0.019,0.042,0.799,0.017,,CFM56-7B26E,2.68531655,79000.0,66300.0,41400.0,26000.0,340.0,0.82,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""CFM56-7B24"", ""CFM56-7B26"", ""CFM56-7B27""]",0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
B739,Boeing 737-900,85100.0,71300.0,44600.0,26000.0,340.0,0.82,12500.0,215.0,170.0,190.0,42.11,3.73,3.73,124.6,34.32,4.17,25.0,0.1077599999999999,double-slotted,21.09999999999955,0.6,0.9,0.15,0.15,11000.0,0.79,5100.0,turbofan,wing,2.0,CFM56-7B27E,,,,,,,0.017964999999999936,0.038609999999999985,0.8017300000000007,0.01706798396701553,,CFM56-7B27E,2.79057225,85100.0,71300.0,44600.0,26000.0,340.0,0.82,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""CFM56-7B24"", ""CFM56-7B26"", ""CFM56-7B27""]",0.02,0.042,0.797,0.018
B744,Boeing 747-400,396800.0,260300.0,182400.0,203500.0,365.0,0.92,13700.0,660.0,520.0,570.0,70.66,8.1,6.5,525.6,64.4,9.68,37.5,0.094,triple-slotted,78.7,0.639,0.9,0.198,0.15,11000.0,0.85,13400.0,turbofan,wing,4.0,CF6-80C2B1F,,,,,,,0.021,0.049,0.816,0.015,,,2.9886681658250156,396800.0,260300.0,182400.0,203500.0,365.0,0.92,13700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""PW4062"", ""CF6-80C2B1F"", ""RB211-524G""]",0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
B748,Boeing 747-8,447700.0,312100.0,220100.0,238600.0,365.0,0.92,13100.0,605.0,460.0,480.0,76.3,7.1,6.5,554.0,68.4,9.68,37.5,0.094,triple-slotted,78.7,0.639,0.9,0.186,0.142,11000.0,0.85,14800.0,turbofan,wing,4.0,GEnx-2B67,,,,,,,0.021,0.047,0.806,0.015,,,5.639706316500003,447700.0,312100.0,220100.0,238600.0,365.0,0.92,13100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""GEnx-2B67""]",0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
B752,Boeing 757-200,115600.0,92200.0,58400.0,43500.0,350.0,0.86,12800.0,239.0,200.0,225.0,47.3,4.1,4.1,182.3,38.0,5.64,25.0,0.10967999999999983,double-slotted,30.4,0.757,0.9,0.187,0.167,11000.0,0.8,7200.0,turbofan,wing,2.0,RB211-535E4,,,,,,,0.021,0.049,0.813,0.016,,,2.8622667840028515,115600.0,92200.0,58400.0,43500.0,350.0,0.86,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""PW2037"", ""RB211-535E4""]",0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
B763,Boeing 767-300,158700.0,136000.0,90000.0,63200.0,360.0,0.86,13100.0,350.0,210.0,290.0,54.94,5.03,5.03,283.3,47.57,6.98,31.5,0.115,double-slotted,36.88,0.75,0.9,0.187,0.167,11000.0,0.8,11400.0,turbofan,wing,2.0,CF6-80C2B2,,,,,,,0.021,0.049,0.813,0.016,,,3.365920196994275,158700.0,136000.0,90000.0,63200.0,360.0,0.86,13100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""JT9D-7R4D"", ""PW4056"", ""CF6-80C2B2""]",0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
B772,Boeing 777-200/200ER,297000.0,213000.0,138000.0,171000.0,330.0,0.89,13100.0,440.0,300.0,320.0,63.73,6.2,6.2,427.8,60.93,8.75,31.6,0.10024,double-slotted,67.13,0.758,0.9,0.166,0.157,11000.0,0.84,9600.0,turbofan,wing,2.0,PW4090,,,,,,,0.024,0.047,0.783,0.014,,,2.873631361959879,297000.0,213000.0,138000.0,171000.0,330.0,0.89,13100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""GE90-77B"", ""PW4077"", ""Trent 877"", ""GE90-94B"", ""PW4090"", ""Trent 895""]",0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
B77L,Boeing 777-200LR,288178.0,210801.0,140635.5,153513.45,370.875,0.8889499999999988,13091.0,467.08,333.25,366.555,65.01499999999993,6.201800000000012,5.95385000000001,416.98300000000063,62.336949999999995,8.467385,32.03449999999999,0.10088,,65.01954999999994,0.7089384948034521,0.8999999999998672,0.1552699999999995,0.1516049999999996,11000.0,0.8404999999999986,14267.0,turbofan,,2.06,,,,,,,,0.022414999999999966,0.04315500000000003,0.7798799999999992,0.014274696969696936,,,4.582066326199999,288178.0,210801.0,140635.5,153513.45,370.875,0.8889499999999988,13091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
B77W,Boeing 777-300ER,351500.0,251300.0,167800.0,181300.0,330.0,0.89,13100.0,550.0,365.0,451.0,73.86,6.2,6.2,436.8,64.8,8.75,31.6,0.09480000000000002,double-slotted,67.13,0.758,0.9,0.156,0.154,11000.0,0.84,14700.0,turbofan,wing,2.0,GE90-115B,,,,,,,0.024,0.043,0.765,0.016,,,3.514577204066723,351500.0,251300.0,167800.0,181300.0,330.0,0.89,13100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""GE90-115B""]",0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
B788,Boeing 787-8,228000.0,172000.0,119000.0,126200.0,515.0,0.9,13100.0,380.0,220.0,250.0,56.72,5.94,5.77,377.0,60.12,6.27,32.2,0.094,single-slotted,40.58450000000004,0.6841600000000007,0.9,0.15,0.15,11000.0,0.85,14800.0,turbofan,wing,2.0,Trent 1000-E2,,,,,,,0.017,0.041,0.819,0.013,,,5.1610875879,228000.0,172000.0,119000.0,126200.0,515.0,0.9,13100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""GEnx-1B70"", ""GEnx-1B67"", ""GEnx-1B64"", ""Trent 1000-E2"", ""Trent 1000-C2"", ""Trent 1000-A2""]",0.020000000000000014,0.0419999999999999,0.7969999999999985,0.018000000000000006
B789,Boeing 787-9,254000.0,193000.0,128000.0,126400.0,515.0,0.9,13100.0,420.0,260.0,290.0,62.81,5.94,5.77,377.0,60.12,6.27,32.2,0.094,single-slotted,23.054240740740674,0.7597639681818493,0.9,0.15,0.15,11000.0,0.85,14000.0,turbofan,wing,2.0,Trent 1000-K2,,,,,,,0.022,0.042,0.783,0.014,,,3.0298933656539075,254000.0,193000.0,128000.0,126400.0,515.0,0.9,13100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""GEnx-1B75"", ""GEnx-1B74"", ""Trent 1000-K2"", ""Trent 1000-J2"", ""Trent 1000-A2""]",0.020000000000000014,0.0419999999999999,0.7969999999999984,0.018000000000000006
MD11,McDonnell Douglas MD-11,211653.5,164422.0,103218.1,116519.4,378.725,0.8685000000000006,12734.0,389.48,230.755,283.955,58.28084999999994,5.2719499999999995,5.264250000000004,308.55949999999973,53.75604999999995,6.805437499999998,29.172999999999952,0.10807999999999997,,41.014850000000116,0.7060816055405239,0.8999999999998672,0.15453999999999943,0.15178499999999953,11000.0,0.8251699999999975,11709.0,turbofan,,2.02,,,,,,,,0.021404999999999938,0.041465000000000064,0.7824899999999996,0.014570686742168094,,,5.421268177253096,211653.5,164422.0,103218.1,116519.4,378.725,0.8685000000000006,12734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020000000000000014,0.0419999999999999,0.7969999999999985,0.018000000000000006
